cond,seed,perm_auc,perm_bacc
FC+M1D|linsvm,20360844,0.5000022022066111,0.5103261467990927
FC+M1D|linsvm,20360845,0.48828205862274,0.4726728181638001
FC+M1D|linsvm,20360846,0.4784558127243498,0.4744499988988967
FC+M1D|linsvm,20360847,0.5490365346076769,0.5374771521064106
FC+M1D|linsvm,20360848,0.5186901275077628,0.5202184588958136
FC+M1D|linsvm,20360849,0.4900878680437798,0.4973661608932149
FC+M1D|linsvm,20360850,0.475654605915127,0.4858596313506133
FC+M1D|linsvm,20360851,0.4697306701314717,0.4830804466075007
FC+M1D|linsvm,20360852,0.5104670880221982,0.5009865885617388
FC+M1D|linsvm,20360853,0.4820145786077649,0.479750710211632
FC+M1D|linsvm,20360854,0.5206544958047964,0.5228677134488757
FC+M1D|linsvm,20360855,0.518350987689665,0.5009865885617388
FC+M1D|linsvm,20360856,0.5054152260565086,0.5095840031711775
FC+M1D|linsvm,20360857,0.5078508665683015,0.4922592437622497
FC_only|logreg,20360818,0.4968310246867361,0.5050276376929683
FC_only|logreg,20360819,0.5012442467352287,0.5191239622101346
FC_only|logreg,20360820,0.5234909379197956,0.5208328745402894
FC_only|logreg,20360821,0.501186989363342,0.4944284172741086
FC_only|logreg,20360822,0.4844942632517782,0.4764562091215397
FC_only|logreg,20360823,0.5252042546631724,0.4980818780417979
FC_only|logreg,20360824,0.4601863066792926,0.4599726926380233
FC_only|logreg,20360825,0.507903719526966,0.5063203329736397
FC_only|logreg,20360826,0.5044110198418815,0.5119778017573609
FC_only|logreg,20360827,0.5313263890418198,0.5297231826289942
FC_only|logreg,20360828,0.4716950384285053,0.4674403752560065
FC_only|logreg,20360829,0.5139730009469489,0.4867339073751899
FC_only|logreg,20360830,0.5351141844127816,0.5218679116474708
FC_only|logreg,20360831,0.4927217071505648,0.4942324208857275
FC_only|logreg,20360832,0.5001343346032725,0.5013741769252791
FC_only|logreg,20360833,0.5098813010636658,0.4931665528859917
FC_only|logreg,20360834,0.551679182540906,0.537869144883173
FC_only|logreg,20360835,0.4898191988372349,0.4904820630271532
FC_only|logreg,20360836,0.4892290074654804,0.4695060450571472
FC_only|logreg,20360837,0.5245656147459754,0.5150146446739633
FC_only|logreg,20360838,0.4589134312581207,0.4558986104076284
FC_only|logreg,20360839,0.491285868440177,0.4940716598031227
FC_only|logreg,20360840,0.4895945737629105,0.486474046995089
FC_only|logreg,20360841,0.5113171397740537,0.5159549868968707
FC_only|logreg,20360842,0.5556387500275275,0.5356691404787597
FC_only|logreg,20360843,0.4999933933801669,0.4950714616045277
FC_only|logreg,20360844,0.525803254861371,0.523162809134753
FC_only|logreg,20360845,0.4877138893170957,0.5060318439075954
FC_only|logreg,20360846,0.4822083727895351,0.493104891100883
FC_only|logreg,20360847,0.5393600387588363,0.5262943469356295
FC_only|logreg,20360848,0.5219934374242992,0.520251491994979
FC_only|logreg,20360849,0.5133343610297518,0.5438503380387147
FC_only|logreg,20360850,0.464493822810456,0.4654011319341981
FC_only|logreg,20360851,0.4730163623951199,0.4975643594882072
FC_only|logreg,20360852,0.5123301548151248,0.5066792926512366
FC_only|logreg,20360853,0.5004866876610363,0.5162787112686913
FC_only|logreg,20360854,0.5242969455394305,0.5000836838512189
FC_only|logreg,20360855,0.5260983505472484,0.512623048294391
FC_only|logreg,20360856,0.4977603558765883,0.4827258913431258
FC_only|logreg,20360857,0.4877931687550926,0.4847629324583232
FC_only|linsvm,20460818,0.4643572860005726,0.4572551696800193
FC_only|linsvm,20460819,0.5076042194278667,0.4988856834548217
FC_only|linsvm,20460820,0.4848510207227642,0.4921293135721993
FC_only|linsvm,20460821,0.4991257239754234,0.4921953797705301
FC_only|linsvm,20460822,0.4817591226408861,0.4867647382677442
FC_only|linsvm,20460823,0.5073311458080997,0.4924860710431852
FC_only|linsvm,20460824,0.5207029443502389,0.5293972560505626
FC_only|linsvm,20460825,0.4988614591821004,0.5091964148076372
FC_only|linsvm,20460826,0.5170076416569404,0.5205091501684688
FC_only|linsvm,20460827,0.4876786540113194,0.4766478010966989
FC_only|linsvm,20460828,0.4849699398797595,0.501083485652624
FC_only|linsvm,20460829,0.4976282234799268,0.4858596313506133
