path,seed,stage,auc,bacc,fold_sd,ci_lo,ci_hi,n_feat
O,2,WGIN2_preBN,0.6213393820608248,0.588189565945077,0.04485746347381796,0.5842141962178572,0.6533834493465902,2880
O,9,z,0.5139994274262811,0.5077781937501377,0.035055478317832456,0.4791143970145588,0.5528642840696377,32
O,9,h,0.509727146600894,0.5085864035763835,0.028858483840146856,0.47510842382639207,0.5489715831171098,32
P,9,postBN1_toWGIN2,0.630698760157678,0.6067101235437908,0.04919115441432018,0.5926526406385273,0.664845448016663,2880
P,6,BN1,0.6258583100266467,0.6034134202470876,0.044355890167708995,0.5870392833586621,0.6595277714835611,2880
P,5,final_nodes_postNorm,0.639683763130657,0.6108789006584598,0.044967961858224006,0.6006131691252509,0.672375085910701,2880
O,2,postBN1_toWGIN2,0.5861305027637693,0.5692175559911031,0.03926749835972409,0.5476399420353157,0.6195565784495382,2880
P,6,BN2_final_nodes_preNorm,0.6286815389019799,0.5946860754475984,0.047028928935869053,0.5917203696064447,0.6616623878815769,2880
O,1,postBN1_toWGIN2,0.6041093175361713,0.5839238917395231,0.023470428141487212,0.5647021019400775,0.638956938168952,2880
P,6,final_nodes_postNorm,0.6286815389019799,0.5946860754475984,0.047028928935869053,0.5917203696064447,0.6616623878815769,2880
O,1,WGIN1_preBN,0.5954810720341783,0.5785901473276223,0.06040827096786533,0.5588994555726045,0.6278993272577252,2880
O,3,postBN1_toWGIN2,0.629795855447158,0.6123675923275121,0.03310446982281361,0.5928241122226273,0.6645001245061882,2880
O,4,postBN1_toWGIN2,0.5751414917747584,0.5701865268999537,0.04902595334578259,0.5360652504584772,0.6107104122788463,2880
P,8,final_nodes_postNorm,0.6210795216807241,0.5824043691779163,0.0505295367827555,0.5844893419727598,0.6553258164681011,2880
O,9,BN1,0.630698760157678,0.6067101235437908,0.04919115441432018,0.5926526406385273,0.664845448016663,2880
P,8,BN2_final_nodes_preNorm,0.6210795216807241,0.5824043691779163,0.0505295367827555,0.5844893419727598,0.6553258164681011,2880
O,8,BN1,0.6326146799092691,0.610718139575855,0.04798652092739009,0.5945807992367854,0.664923520036128,2880
O,2,final_nodes_postNorm,0.5376423176022375,0.5342773459005924,0.019183802568190775,0.5010694389201666,0.5716675060374601,2880
O,5,WGIN1_preBN,0.638600277478033,0.6134004272280826,0.044122132773762444,0.600270976252725,0.6726715323086744,2880
O,2,BN2_final_nodes_preNorm,0.6213393820608248,0.588189565945077,0.04485746347381796,0.5842141962178572,0.6533834493465902,2880
O,5,BN1,0.638600277478033,0.6134004272280826,0.044122132773762444,0.600270976252725,0.6726715323086744,2880
P,9,WGIN2_preBN,0.6261313836464136,0.5899028826884538,0.05689460467322115,0.5889043567440546,0.6579841266889874,2880
P,9,final_nodes_postNorm,0.6261313836464136,0.5899028826884538,0.05689460467322115,0.5889043567440546,0.6579841266889874,2880
P,9,BN2_final_nodes_preNorm,0.6261313836464136,0.5899028826884538,0.05689460467322115,0.5889043567440546,0.6579841266889874,2880
O,2,BN1,0.5946838732409875,0.5836001673677025,0.05776246474270601,0.557663300766684,0.6266332386596715,2880
O,4,WGIN1_preBN,0.6371424167015349,0.610718139575855,0.046301857999994624,0.598867394469296,0.6714415215912374,2880
O,0,postBN1_toWGIN2,0.611715739170649,0.5949459358276994,0.037145829280636145,0.5721389469889393,0.6445770931379899,2880
O,2,WGIN1_preBN,0.5946838732409875,0.5836001673677025,0.05776246474270601,0.557663300766684,0.6266332386596715,2880
O,3,BN1,0.6403620427668524,0.6086172344689378,0.0460781943249474,0.6022974499042676,0.674716343452273,2880
O,0,final_nodes_postNorm,0.5276575128278534,0.5372194939329208,0.021075843061933417,0.49035272287620246,0.5632211427523806,2880
O,3,WGIN1_preBN,0.6403620427668524,0.6086172344689378,0.0460781943249474,0.6022974499042676,0.674716343452273,2880
O,3,WGIN2_preBN,0.6279724283732301,0.5943953841749433,0.05151053198016911,0.5899677324082115,0.65986965565984,2880
