source,band,norm,clf,pooled_auc,pooled_bacc,pooled_acc,pooled_sens,pooled_spec,pooled_f1,pooled_prec,pooled_tn,pooled_fp,pooled_fn,pooled_tp,auc_mean,auc_sd,bacc_mean,bacc_sd,acc_mean,sens_mean,spec_mean,f1_mean,prec_mean,per_fold_auc,best_C,secs
OLD,all3,D_SUBJ_BAND_Z,logreg,0.6339051729833294,0.5984056024136184,0.6016771488469602,0.5274725274725275,0.6693386773547094,0.5581395348837209,0.5925925925925926,334,165,215,240,0.6332749472749473,0.0295489740005839,0.5984130314130314,0.0197842788042796,0.6016809038302562,0.5274725274725276,0.6693535353535354,0.5580026665469549,0.5953132992327366,"[0.605824, 0.675055, 0.634945, 0.646044, 0.604507]","[0.01, 0.01, 0.01, 0.01, 0.01]",3.9
M1,slow4,F_TRAINFOLD_BAND_Z,linsvm,0.6171639983263231,0.5695456847761456,0.5775681341719078,0.3956043956043956,0.7434869739478958,0.4718217562254259,0.5844155844155844,371,128,275,180,0.6174394494394495,0.0178839628864552,0.5695294705294706,0.0460135989157374,0.5774924221548636,0.3956043956043956,0.7434545454545454,0.4686494352896564,0.581410596362474,"[0.636593, 0.621758, 0.620549, 0.62044, 0.587857]","[0.001, 0.001, 0.001, 0.001, 0.001]",1.7
M1,all3,F_TRAINFOLD_BAND_Z,linsvm,0.6484617586821996,0.6001519522561607,0.6048218029350105,0.4989010989010989,0.7014028056112225,0.54632972322503,0.6037234042553191,350,149,228,227,0.6487299367299368,0.0191357033429369,0.6001576201576201,0.0301959754653429,0.6047891981262055,0.4989010989010988,0.7014141414141414,0.5456825384531967,0.6070535682486622,"[0.628242, 0.654725, 0.663516, 0.668462, 0.628705]","[0.001, 0.001, 0.001, 0.001, 0.001]",14.3
M2,slow4,F_TRAINFOLD_BAND_Z,linsvm,0.6035675747098592,0.5873218965403334,0.5943396226415094,0.4351648351648352,0.7394789579158316,0.5057471264367817,0.6036585365853658,369,130,257,198,0.6054421134421135,0.0384443327945399,0.5872490842490843,0.0450644317568384,0.594262882336732,0.4351648351648351,0.7393333333333334,0.5057614312744898,0.6066404145040982,"[0.591209, 0.619231, 0.630549, 0.640989, 0.545233]","[0.001, 0.01, 0.001, 0.01, 0.01]",0.6
M2,all3,F_TRAINFOLD_BAND_Z,linsvm,0.6307692307692307,0.6021581624788037,0.610062893081761,0.4307692307692308,0.7735470941883767,0.5130890052356021,0.6343042071197411,386,113,259,196,0.6311166611166612,0.0271410694638091,0.6021219891219891,0.0385049791553698,0.6100192890603472,0.4307692307692307,0.7734747474747474,0.5124486175049897,0.6356607013362242,"[0.614505, 0.646264, 0.65044, 0.653077, 0.591298]","[0.001, 0.001, 0.001, 0.001, 0.001]",20.5
OLD,slow4,F_TRAINFOLD_BAND_Z,linsvm,0.5964368297033628,0.5660882203968376,0.5754716981132075,0.3626373626373626,0.7695390781563126,0.4489795918367347,0.5892857142857143,384,115,290,165,0.5974889554889555,0.0356225699107472,0.5660560550560552,0.0444987916845546,0.5753926701570681,0.3626373626373627,0.7694747474747475,0.4465068528206801,0.5853537794152517,"[0.603187, 0.625385, 0.606703, 0.616484, 0.535687]","[0.001, 0.001, 0.01, 0.001, 0.001]",0.5
OLD,all3,F_TRAINFOLD_BAND_Z,linsvm,0.613173599947147,0.5875795547138233,0.5932914046121593,0.4637362637362637,0.7114228456913828,0.5209876543209877,0.5943661971830986,355,144,244,211,0.614934176934177,0.0499237645185898,0.5876055056055056,0.0369494949971791,0.5932763846789749,0.4637362637362637,0.7114747474747475,0.5203557284286662,0.5993536402053377,"[0.561868, 0.657692, 0.62033, 0.668791, 0.56599]","[0.01, 0.001, 0.001, 0.001, 0.001]",10.2
M1,slow4,F_TRAINFOLD_BAND_Z,logreg,0.6260080600761964,0.5840890572353499,0.590146750524109,0.4527472527472527,0.7154308617234469,0.5130759651307597,0.5919540229885057,357,142,249,206,0.6253633033633033,0.0145903092871572,0.5841008991008991,0.0288470447164049,0.5901074676219344,0.4527472527472527,0.7154545454545455,0.5101699593744783,0.5910669077757685,"[0.643187, 0.633736, 0.619231, 0.625934, 0.604729]","[0.01, 0.01, 0.01, 0.01, 0.01]",2.0
M1,all3,F_TRAINFOLD_BAND_Z,logreg,0.6452597502697703,0.5999581580743906,0.6048218029350105,0.4945054945054945,0.7054108216432866,0.5441354292623942,0.6048387096774194,352,147,230,225,0.6485709845709846,0.0160956380395869,0.599939615939616,0.0227478083111088,0.6048057316065032,0.4945054945054945,0.7053737373737373,0.5374491174971701,0.6094049043988378,"[0.639011, 0.659011, 0.635824, 0.671868, 0.637141]","[0.01, 0.01, 0.001, 0.01, 0.01]",4.6
M2,slow4,F_TRAINFOLD_BAND_Z,logreg,0.5998810808430046,0.5855116827060715,0.5922431865828093,0.4395604395604395,0.7314629258517034,0.5069708491761724,0.5988023952095808,365,134,255,200,0.6044912864912865,0.0384458696255966,0.5854367854367855,0.0407666992533041,0.5921686414990356,0.4395604395604396,0.7313131313131314,0.5070831640888384,0.601039467828275,"[0.593846, 0.619231, 0.629341, 0.637692, 0.542347]","[0.01, 0.1, 0.01, 0.01, 0.1]",0.7
M2,all3,F_TRAINFOLD_BAND_Z,logreg,0.6301349952652558,0.5951111013235262,0.6016771488469602,0.4527472527472527,0.7374749498997996,0.5202020202020202,0.6112759643916914,368,131,249,206,0.6306078366078367,0.0262396563959396,0.595090798090798,0.0347030949595061,0.6016423257095618,0.4527472527472527,0.7374343434343433,0.5190965783127519,0.6094726182122322,"[0.619451, 0.650769, 0.642527, 0.650659, 0.589633]","[0.01, 0.01, 0.01, 0.01, 0.01]",5.6
OLD,slow4,F_TRAINFOLD_BAND_Z,logreg,0.6137770045585677,0.5784976546499593,0.5849056603773585,0.4395604395604395,0.717434869739479,0.5025125628140703,0.5865102639296188,358,141,255,200,0.6143782883782883,0.0307420173468844,0.5785478965478965,0.0261283125816079,0.5848718655276935,0.4395604395604396,0.7175353535353535,0.500079189726429,0.5850336959032612,"[0.61, 0.637802, 0.627582, 0.633736, 0.562771]","[0.01, 0.1, 0.1, 0.01, 0.01]",0.8
