unit,fold,fold_protocol,arm,arch,E,mode,control,alff_mode,seed,status,verdict,head,head_ema,probe_honest,probe_old_full,svm_tr_enc,svm_tr_full,fused_auc,alpha_selected,delta_vs_svm_tr_enc,delta_vs_svm_tr_full,movement_max,clip_rate,best_epoch,total_steps,ema_delta,ocread_entropy,n_tr_enc,n_tr_probe,policy_hash,wall_s,node
ctrl_A4_C-RAND_signed_plain_s1,site1,site,A4,WGIN,signed,plain,C-RAND,z,20260819,OK,OVERFIT,0.5663153271848923,0.5620333772507685,0.43203776899429075,0.527119016249451,0.708498023715415,0.6982872200263504,,,,,0.022626111283898354,0.10576923076923077,132,2912,-0.0042819499341237854,nan,610,153,798ed7790c1ddabc,1222.0,node06.cognition.gla.alces.network
ctrl_A4_C-RAND_signed_plain_s1,site2,site,A4,WGIN,signed,plain,C-RAND,z,20260819,OK,OVERFIT,0.5126262626262627,0.5072463768115942,0.6326306543697847,0.562143170838823,0.7154150197628458,0.7221124286341678,,,,,0.016561711207032204,0.10385338345864661,83,2128,-0.005379885814668417,nan,610,153,798ed7790c1ddabc,1147.2,node06.cognition.gla.alces.network
ctrl_A4_C-RAND_signed_plain_s2,lab0,lab,A4,WGIN,signed,plain,C-RAND,z,20260820,OK,OVERFIT,0.6114285714285713,0.6109890109890109,0.5905494505494505,0.652967032967033,0.7318681318681318,0.749010989010989,,,,,0.02374325692653656,0.0893361581920904,127,2832,-0.0004395604395603936,nan,610,153,798ed7790c1ddabc,1110.1,node06.cognition.gla.alces.network
ctrl_A4_C-RAND_signed_plain_s2,lab1,lab,A4,WGIN,signed,plain,C-RAND,z,20260820,OK,OVERFIT,0.6357142857142857,0.6396703296703298,0.5592307692307692,0.6442857142857142,0.794065934065934,0.7860439560439563,,,,,0.030395254492759705,0.0908590308370044,177,3632,0.003956043956044097,nan,610,153,798ed7790c1ddabc,1191.4,node06.cognition.gla.alces.network
ctrl_A4_C-RAND_signed_plain_s2,lab2,lab,A4,WGIN,signed,plain,C-RAND,z,20260820,OK,OVERFIT,0.5968131868131867,0.5564835164835165,0.5534065934065935,0.6495604395604396,0.7156043956043956,0.7224175824175824,,,,,0.011323586106300354,0.09259259259259259,58,1728,-0.040329670329670275,nan,610,153,798ed7790c1ddabc,920.2,node06.cognition.gla.alces.network
ctrl_A4_C-RAND_signed_plain_s2,loso0,loso,A4,WGIN,signed,plain,C-RAND,z,20260820,OK,OVERFIT,0.3125,0.296875,0.234375,0.37500000000000006,0.546875,0.5885416666666667,,,,,0.025219174101948738,0.09644052327350168,123,3287,-0.015625,nan,740,186,798ed7790c1ddabc,1369.4,node06.cognition.gla.alces.network
ctrl_A4_C-RAND_signed_plain_s2,loso1,loso,A4,WGIN,signed,plain,C-RAND,z,20260820,OK,OVERFIT,0.7272727272727273,0.7373737373737372,0.5252525252525252,0.6565656565656566,0.8080808080808081,0.8181818181818181,,,,,0.02155754342675209,0.09210526315789473,98,2812,0.010101010101009944,nan,747,187,798ed7790c1ddabc,1327.5,node06.cognition.gla.alces.network
ctrl_A4_C-RAND_signed_plain_s2,loso2,loso,A4,WGIN,signed,plain,C-RAND,z,20260820,OK,HEALTHY,0.5827067669172933,0.3289473684210526,0.47932330827067665,0.5281954887218046,0.6541353383458647,0.6936090225563909,,,,,0.002577215898782015,0.0861842105263158,20,1520,-0.2537593984962407,nan,725,182,798ed7790c1ddabc,1020.3,node06.cognition.gla.alces.network
ctrl_A4_C-RAND_signed_plain_s2,site0,site,A4,WGIN,signed,plain,C-RAND,z,20260820,OK,OVERFIT,0.6372527472527473,0.6218681318681318,0.5436263736263736,0.6746153846153845,0.8221978021978023,0.8201098901098901,,,,,0.025772519409656525,0.09733072916666667,142,3072,-0.015384615384615441,nan,610,153,798ed7790c1ddabc,1123.3,node06.cognition.gla.alces.network
ctrl_A4_C-RAND_signed_plain_s2,site1,site,A4,WGIN,signed,plain,C-RAND,z,20260820,OK,OVERFIT,0.5591787439613526,0.5584101888449715,0.5054896794027229,0.5811374615722442,0.708498023715415,0.6982872200263504,,,,,0.036934029310941696,0.0940625,362,6400,-0.0007685551163810755,nan,610,153,798ed7790c1ddabc,1581.8,node06.cognition.gla.alces.network
