id,site,r_m1_old,r_m2_old,r_m1_m2
NYU_0051014,NYU,0.8313532264429259,0.6717891904092528,0.803458878006286
NYU_0051015,NYU,0.7370557513083732,0.5976064593542689,0.7293589872436019
NYU_0051016,NYU,0.6802552106241,0.5552399348673444,0.6757346274696008
NYU_0051017,NYU,0.5817918885635782,0.5219015971282203,0.5757293675124734
NYU_0051018,NYU,0.6792183557123497,0.5734630149881759,0.6414187645711218
NYU_0051019,NYU,0.7491077802903587,0.6433099113468541,0.7751598728751078
NYU_0051021,NYU,0.8309865721926496,0.7264779729998855,0.8289169722293847
NYU_0051023,NYU,0.7431896377964734,0.7031057327575397,0.686744826213974
NYU_0051024,NYU,0.5861699666557034,0.6631287541415366,0.6625240965824102
NYU_0051025,NYU,0.723519236719185,0.632675063742436,0.7500423882895932
NYU_0051026,NYU,0.8076678642043119,0.6640539598311185,0.730829302879534
NYU_0051027,NYU,0.7026923107709959,0.6097228085035414,0.7319832048092785
NYU_0051028,NYU,0.6546444236295706,0.5419598101706896,0.6918701666877426
NYU_0051029,NYU,0.7435480255528576,0.6427424689617278,0.780388953487076
NYU_0051030,NYU,0.7087866479118725,0.5754599116860449,0.8538048880459226
NYU_0051032,NYU,0.6539569412372531,0.445756225087382,0.6598186948209864
NYU_0051033,NYU,0.6548305160220967,0.4428568141729044,0.7483900361350644
NYU_0051034,NYU,0.7595648163322681,0.4579614199090523,0.6453202354869635
NYU_0051035,NYU,0.6662508667039921,0.44356703003550985,0.7158674071422579
NYU_0051036,NYU,0.6978844906118538,0.6030342730233541,0.7839248650407389
NYU_0051038,NYU,0.6312475152977057,0.39597532863254753,0.6573242787180117
NYU_0051039,NYU,0.7559800183218389,0.5763550819021416,0.845843380626403
NYU_0051040,NYU,0.7036900078426643,0.5516782122546654,0.7277478149213623
NYU_0051041,NYU,0.6412644536817368,0.5525343879601877,0.7380081774927283
NYU_0051042,NYU,0.7181990094424963,0.6309128653209254,0.7724259101987833
NYU_0051044,NYU,0.7695058314366847,0.7342850947773499,0.8634016249818575
NYU_0051045,NYU,0.7150379120284752,0.5839369844836407,0.8085694336859461
NYU_0051046,NYU,0.6509959969718423,0.5267507414539178,0.61029571397373
NYU_0051047,NYU,0.7859135203178802,0.6681470637127159,0.8023550316682393
NYU_0051048,NYU,0.6763083386211141,0.5535958777263038,0.6514470886355621
NYU_0051049,NYU,0.7555003888957356,0.6095650072655221,0.7396169843385738
NYU_0051050,NYU,0.6029196269628265,0.6034538342436404,0.6290238618339946
NYU_0051051,NYU,0.6952508776945413,0.5103484203350688,0.7525666600426074
NYU_0051052,NYU,0.6649147290501289,0.5350477064041038,0.700944568848991
NYU_0051053,NYU,0.6224910245759727,0.5446533397779243,0.6713307451705796
NYU_0051054,NYU,0.6175372384448006,0.4626302040554095,0.8198220748042182
NYU_0051055,NYU,0.7740903906802606,0.6531575561621363,0.8116819591156648
NYU_0051056,NYU,0.6903769875163698,0.6456801490315653,0.8274508115009922
NYU_0051057,NYU,0.5953909251997557,0.6261556633824163,0.7474593091607015
NYU_0051058,NYU,0.6628240292542897,0.6080547837018306,0.6049819356162761
NYU_0051059,NYU,0.7219244210468054,0.5909790482137184,0.6936911830512021
NYU_0051060,NYU,0.587116002528466,0.5341527277211499,0.7762705578164156
NYU_0051061,NYU,0.6258175912234278,0.5234398206432999,0.6866357468987325
NYU_0051062,NYU,0.6446562926356099,0.5897663577873374,0.6451472174550719
