file_id,T,tr,min_valid_vox,OLD_max_abs,OLD_max_rel,OLD_mean_abs,M1_max_abs,M1_max_rel,M1_mean_abs,M2_max_abs,M2_max_rel,M2_mean_abs
Leuven_1_0050685,246,1.6657400131225586,43,2.664535259100376e-15,3.890554889557519e-16,3.433467502081502e-16,3.552713678800501e-15,4.039458090107184e-16,3.79942990649498e-16,5.3290705182007506e-15,5.223526353751874e-16,7.368591333808446e-16
Leuven_2_0050730,246,1.650990009307861,62,5.3290705182007506e-15,4.974819281850521e-16,4.543690526706659e-16,3.552713678800501e-15,5.215093152051064e-16,4.39154885296173e-16,5.3290705182007506e-15,4.792328273469292e-16,7.894919286223335e-16
MaxMun_a_0051363,116,3.0,62,1.7763568394002505e-15,4.1684953743258197e-16,2.39725934576469e-16,3.552713678800501e-15,4.3117429193368655e-16,2.220446049250313e-16,5.3290705182007506e-15,5.577431781615715e-16,6.31593542897867e-16
MaxMun_d_0051330,196,3.0,61,3.552713678800501e-15,4.998114908203953e-16,4.449115972757108e-16,2.664535259100376e-15,6.035136232064167e-16,2.89480373828189e-16,7.105427357601002e-15,4.242005833423295e-16,9.34232115536428e-16
NYU_0050976,176,2.0,62,2.664535259100376e-15,4.309061636761451e-16,3.417019753568537e-16,3.552713678800501e-15,4.158883116831261e-16,3.8816686490598067e-16,7.105427357601002e-15,4.533469934791105e-16,1.052655904829778e-15
NYU_0051011,176,2.0,62,3.552713678800501e-15,4.348852657513246e-16,3.388236193670848e-16,3.552713678800501e-15,5.770177227506916e-16,3.3388929481319524e-16,7.105427357601002e-15,4.498969259995808e-16,1.2368706881749892e-15
NYU_0051048,176,2.0,62,2.664535259100376e-15,4.553223075176881e-16,3.067505097668025e-16,3.552713678800501e-15,4.549242077232231e-16,2.722102378895754e-16,3.552713678800501e-15,3.213961889516633e-16,1.0658141036401502e-15
NYU_0051080,176,2.0,62,2.664535259100376e-15,4.802668638623812e-16,3.380012319414365e-16,1.7763568394002505e-15,3.982305436520111e-16,3.8158776550079455e-16,7.105427357601002e-15,4.568942814481188e-16,1.1316050976920117e-15
NYU_0051114,176,2.0,62,5.3290705182007506e-15,5.619868213632475e-16,3.0387215377703358e-16,1.7763568394002505e-15,4.0080615892086313e-16,3.1579677144893343e-16,8.881784197001252e-15,6.269331309305407e-16,9.802858113727307e-16
Olin_0050110,206,1.5,62,3.552713678800501e-15,5.170641000457048e-16,3.717191163930153e-16,2.664535259100376e-15,4.791835796923703e-16,3.634952421365328e-16,7.105427357601002e-15,4.325081081308692e-16,7.763337298119613e-16
Pitt_0050009,196,1.5,62,2.664535259100376e-15,4.30354002073378e-16,2.6234158878179627e-16,2.664535259100376e-15,5.38608890283331e-16,3.2402064570541606e-16,7.105427357601002e-15,4.016413431010273e-16,7.434382327860307e-16
Pitt_0050044,196,1.5,62,3.552713678800501e-15,4.2897438716233903e-16,2.9071395496666143e-16,1.7763568394002505e-15,3.803336197798791e-16,2.886579864025407e-16,5.3290705182007506e-15,5.045928128348527e-16,6.250144434926807e-16
SBL_0051572,196,2.200000047683716,62,2.220446049250313e-15,5.798292666685319e-16,2.4568824341241893e-16,1.7763568394002505e-15,4.644166822146952e-16,2.541177145253136e-16,7.105427357601002e-15,4.941621177819557e-16,7.434382327860307e-16
SDSU_0050203,176,2.0,62,1.7763568394002505e-15,4.803816033895573e-16,2.8536843669994765e-16,3.552713678800501e-15,4.29649926229377e-16,3.733638912443119e-16,5.3290705182007506e-15,4.667419480022609e-16,6.41462192005646e-16
Stanford_0051180,236,2.0,62,3.552713678800501e-15,4.663468762066089e-16,3.667847918391258e-16,1.7763568394002505e-15,4.2556762397062173e-16,3.116848343206921e-16,5.3290705182007506e-15,5.892302174589888e-16,4.67116057768214e-16
Trinity_0050247,146,2.0,62,4.440892098500626e-15,7.472527829643622e-16,4.605369583630279e-16,3.552713678800501e-15,4.370745374162797e-16,4.325757858909869e-16,7.105427357601002e-15,4.74901131316634e-16,1.111867799476453e-15
Trinity_0051142,146,2.0,62,3.552713678800501e-15,4.0690127795368597e-16,3.20731096002823e-16,3.552713678800501e-15,4.209675914945705e-16,3.1661915887458166e-16,7.105427357601002e-15,5.3597020093019665e-16,6.743576890315766e-16
UCLA_1_0051237,116,3.0,62,8.881784197001252e-16,4.2167410858706325e-16,1.3651631265761184e-16,1.7763568394002505e-15,4.458344842666086e-16,1.5378644859622538e-16,3.552713678800501e-15,4.594674733348436e-16,4.210623619319112e-16
