file_id,T,max_abs_err,mean_abs_err,corr,n_mismatch_1em8,n_mismatch_1em10,n_dead_roi
UM_1_0050324,296,0.0,0.0,1.0,0,0,0
UM_1_0050341,296,0.0,0.0,1.0,0,0,0
UM_1_0050357,296,0.0,0.0,1.0,0,0,0
UM_1_0050373,296,0.0,0.0,1.0,0,0,0
UM_2_0050399,296,0.0,0.0,1.0,0,0,0
UM_2_0050418,296,0.0,0.0,1.0,0,0,0
USM_0050440,236,0.0,0.0,1.0,0,0,0
USM_0050469,236,0.0,0.0,1.0,0,0,0
USM_0050496,236,0.0,0.0,1.0,0,0,0
USM_0050516,236,0.0,0.0,1.0,0,0,0
Yale_0050553,196,0.0,0.0,1.0,0,0,0
Yale_0050569,196,0.0,0.0,1.0,0,0,0
Yale_0050607,196,0.0,0.0,1.0,0,0,0
Yale_0050624,196,0.0,0.0,1.0,0,0,0
CMU_a_0050659,236,0.0,0.0,1.0,0,0,0
Caltech_0051459,146,0.0,0.0,0.9999999999999998,0,0,0
Caltech_0051484,146,0.0,0.0,1.0,0,0,0
KKI_0050778,152,0.0,0.0,1.0,0,0,0
KKI_0050794,124,0.0,0.0,1.0,0,0,0
KKI_0050817,124,0.0,0.0,1.0,0,0,0
Leuven_1_0050690,246,0.0,0.0,1.0,0,0,0
Leuven_1_0050707,246,0.0,0.0,1.0,0,0,0
Leuven_2_0050736,246,0.0,0.0,1.0,0,0,0
Leuven_2_0050752,246,0.0,0.0,1.0,0,0,0
MaxMun_a_0051373,116,0.0,0.0,1.0,0,0,0
MaxMun_c_0051339,116,0.0,0.0,1.0,0,0,0
MaxMun_d_0051352,196,0.0,0.0,1.0,0,0,0
NYU_0050962,176,0.0,0.0,1.0,0,0,0
NYU_0050982,176,0.0,0.0,1.0,0,0,0
NYU_0050998,176,0.0,0.0,1.0,0,0,0
NYU_0051016,176,0.0,0.0,1.0,0,0,0
NYU_0051035,176,0.0,0.0,1.0,0,0,0
NYU_0051053,176,0.0,0.0,1.0,0,0,0
NYU_0051069,176,0.0,0.0,1.0,0,0,0
NYU_0051085,176,0.0,0.0,1.0,0,0,0
NYU_0051102,176,0.0,0.0,1.0,0,0,0
NYU_0051123,176,0.0,0.0,1.0,0,0,0
NYU_0051154,176,0.0,0.0,1.0,0,0,0
Olin_0050115,206,0.0,0.0,1.0,0,0,0
Olin_0050132,206,0.0,0.0,1.0,0,0,0
Pitt_0050014,196,0.0,0.0,0.9999999999999998,0,0,0
Pitt_0050032,196,0.0,0.0,0.9999999999999998,0,0,0
Pitt_0050049,196,0.0,0.0,1.0,0,0,0
SBL_0051561,196,0.0,0.0,1.0,0,0,0
SBL_0051577,196,0.0,0.0,1.0,0,0,0
SDSU_0050190,176,0.0,0.0,1.0,0,0,0
SDSU_0050208,176,0.0,0.0,1.0,0,0,0
Stanford_0051168,176,0.0,0.0,1.0,0,0,0
Stanford_0051185,236,0.0,0.0,1.0,0,0,0
Trinity_0050233,146,0.0,0.0,1.0,0,0,0
Trinity_0050252,146,0.0,0.0,1.0,0,0,0
Trinity_0050271,146,0.0,0.0,1.0,0,0,0
UCLA_1_0051206,116,0.0,0.0,1.0,0,0,0
UCLA_1_0051223,116,0.0,0.0,1.0,0,0,0
UCLA_1_0051249,116,0.0,0.0,1.0,0,0,0
UCLA_1_0051268,116,0.0,0.0,1.0,0,0,0
UCLA_2_0051294,116,0.0,0.0,1.0,0,0,0
UCLA_2_0051313,116,0.0,0.0,1.0,0,0,0
UM_1_0050285,296,0.0,0.0,1.0,0,0,0
UM_1_0050304,296,0.0,0.0,1.0,0,0,0
UM_1_0050325,296,0.0,0.0,1.0,0,0,0
UM_1_0050342,296,0.0,0.0,1.0,0,0,0
UM_1_0050358,296,0.0,0.0,1.0,0,0,0
UM_1_0050374,296,0.0,0.0,1.0,0,0,0
UM_2_0050402,296,0.0,0.0,1.0,0,0,0
UM_2_0050419,296,0.0,0.0,1.0,0,0,0
USM_0050441,236,0.0,0.0,1.0,0,0,0
USM_0050470,236,0.0,0.0,1.0,0,0,0
USM_0050497,236,0.0,0.0,1.0,0,0,0
USM_0050518,236,0.0,0.0,1.0,0,0,0
Yale_0050554,196,0.0,0.0,1.0,0,0,0
Yale_0050570,196,0.0,0.0,1.0,0,0,0
Yale_0050608,196,0.0,0.0,1.0,0,0,0
Yale_0050625,196,0.0,0.0,1.0,0,0,0
CMU_a_0050660,236,0.0,0.0,1.0,0,0,0
Caltech_0051461,146,0.0,0.0,1.0,0,0,0
Caltech_0051485,146,0.0,0.0,1.0,0,0,0
KKI_0050779,152,0.0,0.0,1.0,0,0,0
KKI_0050795,152,0.0,0.0,1.0,0,0,0
KKI_0050818,152,0.0,0.0,1.0,0,0,0
Leuven_1_0050691,246,0.0,0.0,1.0,0,0,0
Leuven_1_0050708,246,0.0,0.0,1.0,0,0,0
Leuven_2_0050737,246,0.0,0.0,1.0,0,0,0
Leuven_2_0050753,246,0.0,0.0,1.0,0,0,0
MaxMun_a_0051606,116,0.0,0.0,1.0,0,0,0
MaxMun_c_0051340,116,0.0,0.0,1.0,0,0,0
MaxMun_d_0051354,196,0.0,0.0,1.0,0,0,0
NYU_0050964,176,0.0,0.0,1.0,0,0,0
NYU_0050983,176,0.0,0.0,1.0,0,0,0
NYU_0050999,176,0.0,0.0,1.0,0,0,0
NYU_0051017,176,0.0,0.0,1.0,0,0,0
NYU_0051036,176,0.0,0.0,1.0,0,0,0
NYU_0051054,176,0.0,0.0,1.0,0,0,0
NYU_0051070,176,0.0,0.0,1.0,0,0,0
NYU_0051086,176,0.0,0.0,1.0,0,0,0
NYU_0051103,176,0.0,0.0,1.0,0,0,0
NYU_0051124,176,0.0,0.0,1.0,0,0,0
NYU_0051155,176,0.0,0.0,1.0,0,0,0
Olin_0050116,206,0.0,0.0,1.0,0,0,0
Olin_0050133,206,0.0,0.0,1.0,0,0,0
Pitt_0050015,196,0.0,0.0,0.9999999999999998,0,0,0
Pitt_0050033,196,0.0,0.0,1.0,0,0,0
Pitt_0050050,196,0.0,0.0,1.0,0,0,0
SBL_0051562,196,0.0,0.0,1.0,0,0,0
SBL_0051578,196,0.0,0.0,1.0,0,0,0
SDSU_0050191,176,0.0,0.0,1.0,0,0,0
SDSU_0050210,176,0.0,0.0,1.0,0,0,0
Stanford_0051169,176,0.0,0.0,1.0,0,0,0
Stanford_0051186,236,0.0,0.0,1.0,0,0,0
Trinity_0050234,146,0.0,0.0,1.0,0,0,0
